# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	15334	17433	-							EYE35_RS00085	2100		old_locus_tag=EYE35_00085
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	15334	17433	-	WP_137456932.1	WP_137456932.1		TonB-dependent siderophore receptor			EYE35_RS00085	2100	699	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	17896	19044	+							EYE35_RS00090	1149		old_locus_tag=EYE35_00090
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	17896	19044	+	WP_137456933.1	WP_137456933.1		ROK family transcriptional regulator			EYE35_RS00090	1149	382	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	19162	20418	+							EYE35_RS00095	1257		old_locus_tag=EYE35_00095
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	19162	20418	+	WP_108223481.1	WP_108223481.1		extracellular solute-binding protein			EYE35_RS00095	1257	418	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	20511	21401	+							EYE35_RS00100	891		old_locus_tag=EYE35_00100
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	20511	21401	+	WP_101328826.1	WP_101328826.1		sugar ABC transporter permease			EYE35_RS00100	891	296	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	21398	22246	+							EYE35_RS00105	849		old_locus_tag=EYE35_00105
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	21398	22246	+	WP_002722082.1	WP_002722082.1		carbohydrate ABC transporter permease			EYE35_RS00105	849	282	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	22266	23369	+							EYE35_RS00110	1104		old_locus_tag=EYE35_00110
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	22266	23369	+	WP_137456934.1	WP_137456934.1		ABC transporter ATP-binding protein			EYE35_RS00110	1104	367	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	23366	24307	+							EYE35_RS00115	942		old_locus_tag=EYE35_00115
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	23366	24307	+	WP_101328824.1	WP_101328824.1		sugar kinase			EYE35_RS00115	942	313	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	24335	25339	+							EYE35_RS00120	1005		old_locus_tag=EYE35_00120
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	24335	25339	+	WP_137456935.1	WP_137456935.1		glucosamine--fructose-6-phosphate aminotransferase			EYE35_RS00120	1005	334	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	25393	26412	+					ltaE		EYE35_RS00125	1020		old_locus_tag=EYE35_00125
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	25393	26412	+	WP_137456936.1	WP_137456936.1		low-specificity L-threonine aldolase	ltaE		EYE35_RS00125	1020	339	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	26366	26653	-							EYE35_RS00130	288		old_locus_tag=EYE35_00130
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	26366	26653	-	WP_137456937.1	WP_137456937.1		hypothetical protein			EYE35_RS00130	288	95	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	26553	27323	-							EYE35_RS00135	771		old_locus_tag=EYE35_00135
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	26553	27323	-	WP_137456938.1	WP_137456938.1		DeoR/GlpR transcriptional regulator			EYE35_RS00135	771	256	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	27596	28390	+							EYE35_RS00140	795		old_locus_tag=EYE35_00140
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	27596	28390	+	WP_069331157.1	WP_069331157.1		inositol monophosphatase family protein			EYE35_RS00140	795	264	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	28463	30037	+							EYE35_RS00145	1575		old_locus_tag=EYE35_00145
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	28463	30037	+	WP_101328820.1	WP_101328820.1		ABC transporter substrate-binding protein			EYE35_RS00145	1575	524	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	30119	31099	+							EYE35_RS00150	981		old_locus_tag=EYE35_00150
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	30119	31099	+	WP_002722098.1	WP_002722098.1		ABC transporter permease			EYE35_RS00150	981	326	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	31099	32010	+							EYE35_RS00155	912		old_locus_tag=EYE35_00155
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	31099	32010	+	WP_101328819.1	WP_101328819.1		ABC transporter permease			EYE35_RS00155	912	303	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	32012	33865	+							EYE35_RS00160	1854		old_locus_tag=EYE35_00160
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	32012	33865	+	WP_137456939.1	WP_137456939.1		ABC transporter ATP-binding protein			EYE35_RS00160	1854	617	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	33858	35132	+							EYE35_RS00165	1275		old_locus_tag=EYE35_00165
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	33858	35132	+	WP_137456940.1	WP_137456940.1		Zn-dependent hydrolase			EYE35_RS00165	1275	424	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	35129	36073	+							EYE35_RS00170	945		old_locus_tag=EYE35_00170
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	35129	36073	+	WP_137456941.1	WP_137456941.1		aminoglycoside phosphotransferase			EYE35_RS00170	945	314	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	36070	37014	+							EYE35_RS00175	945		old_locus_tag=EYE35_00175
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	36070	37014	+	WP_015921703.1	WP_015921703.1		choline kinase			EYE35_RS00175	945	314	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	37484	37669	+							EYE35_RS00180	186		old_locus_tag=EYE35_00180
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	37484	37669	+	WP_137458585.1	WP_137458585.1		hypothetical protein			EYE35_RS00180	186	61	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	37718	39322	-							EYE35_RS00185	1605		old_locus_tag=EYE35_00185
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	37718	39322	-	WP_112330582.1	WP_112330582.1		DNA polymerase Y family protein			EYE35_RS00185	1605	534	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	39587	39859	-							EYE35_RS00190	273		old_locus_tag=EYE35_00190
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	39587	39859	-	WP_009562523.1	WP_009562523.1		hypothetical protein			EYE35_RS00190	273	90	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	40059	40805	+							EYE35_RS00195	747		old_locus_tag=EYE35_00195
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	40059	40805	+	WP_069330639.1	WP_069330639.1		NYN domain-containing protein			EYE35_RS00195	747	248	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	40946	41191	+							EYE35_RS00200	246		old_locus_tag=EYE35_00200
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	40946	41191	+	WP_002722116.1	WP_002722116.1		DUF4170 domain-containing protein			EYE35_RS00200	246	81	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	41203	42390	+							EYE35_RS00205	1188		old_locus_tag=EYE35_00205
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	41203	42390	+	WP_069330638.1	WP_069330638.1		3-deoxy-D-manno-octulosonic acid transferase			EYE35_RS00205	1188	395	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	42390	43388	+							EYE35_RS00210	999		old_locus_tag=EYE35_00210
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	42390	43388	+	WP_137456942.1	WP_137456942.1		tetraacyldisaccharide 4'-kinase			EYE35_RS00210	999	332	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	43501	44646	-							EYE35_RS00215	1146		old_locus_tag=EYE35_00215
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	43501	44646	-	WP_137456943.1	WP_137456943.1		CoA transferase			EYE35_RS00215	1146	381	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	44643	45329	-							EYE35_RS00220	687		old_locus_tag=EYE35_00220
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	44643	45329	-	WP_137456944.1	WP_137456944.1		DsbA family protein			EYE35_RS00220	687	228	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	45326	45856	-							EYE35_RS00225	531		old_locus_tag=EYE35_00225
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	45326	45856	-	WP_041669904.1	WP_041669904.1		DUF721 domain-containing protein			EYE35_RS00225	531	176	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	45938	47041	+					mutY		EYE35_RS00230	1104		old_locus_tag=EYE35_00230
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	45938	47041	+	WP_137456945.1	WP_137456945.1		A/G-specific adenine glycosylase	mutY		EYE35_RS00230	1104	367	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	47079	48350	+							EYE35_RS00235	1272		old_locus_tag=EYE35_00235
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	47079	48350	+	WP_137456946.1	WP_137456946.1		alkane 1-monooxygenase			EYE35_RS00235	1272	423	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	48511	49629	-							EYE35_RS00240	1119		old_locus_tag=EYE35_00240
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	48511	49629	-	WP_002722128.1	WP_002722128.1		site-specific DNA-methyltransferase			EYE35_RS00240	1119	372	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	49718	50356	-							EYE35_RS00245	639		old_locus_tag=EYE35_00245
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	49718	50356	-	WP_137456947.1	WP_137456947.1		ribonuclease HII			EYE35_RS00245	639	212	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	50529	50993	-							EYE35_RS00250	465		old_locus_tag=EYE35_00250
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	50529	50993	-	WP_137456948.1	WP_137456948.1		hypothetical protein			EYE35_RS00250	465	154	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	51366	51656	+							EYE35_RS00255	291		old_locus_tag=EYE35_00255
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	51366	51656	+	WP_002722131.1	WP_002722131.1		hypothetical protein			EYE35_RS00255	291	96	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	51628	52332	+							EYE35_RS00260	705		old_locus_tag=EYE35_00260
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	51628	52332	+	WP_084295608.1	WP_084295608.1		response regulator transcription factor			EYE35_RS00260	705	234	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	52358	52729	-							EYE35_RS00265	372		old_locus_tag=EYE35_00265
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	52358	52729	-	WP_137456949.1	WP_137456949.1		50S ribosomal protein L2			EYE35_RS00265	372	123	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	52950	54047	+					nspC		EYE35_RS00270	1098		old_locus_tag=EYE35_00270
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	52950	54047	+	WP_112330573.1	WP_112330573.1		carboxynorspermidine decarboxylase	nspC		EYE35_RS00270	1098	365	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	54084	55322	+							EYE35_RS00275	1239		old_locus_tag=EYE35_00275
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	54084	55322	+	WP_101328803.1	WP_101328803.1		saccharopine dehydrogenase family protein			EYE35_RS00275	1239	412	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	55480	57387	-					cadA		EYE35_RS00280	1908		old_locus_tag=EYE35_00280
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	55480	57387	-	WP_137456950.1	WP_137456950.1		cadmium-translocating P-type ATPase	cadA		EYE35_RS00280	1908	635	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	57502	57681	-							EYE35_RS00285	180		old_locus_tag=EYE35_00285
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	57502	57681	-	WP_137456951.1	WP_137456951.1		hypothetical protein			EYE35_RS00285	180	59	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	57707	59326	-							EYE35_RS00290	1620		old_locus_tag=EYE35_00290
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	57707	59326	-	WP_137456952.1	WP_137456952.1		ABC transporter ATP-binding protein			EYE35_RS00290	1620	539	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	59328	60467	-							EYE35_RS00295	1140		old_locus_tag=EYE35_00295
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	59328	60467	-	WP_137456953.1	WP_137456953.1		ABC transporter permease subunit			EYE35_RS00295	1140	379	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	60460	61383	-							EYE35_RS00300	924		old_locus_tag=EYE35_00300
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	60460	61383	-	WP_002722145.1	WP_002722145.1		ABC transporter permease subunit			EYE35_RS00300	924	307	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	61440	63029	-							EYE35_RS00305	1590		old_locus_tag=EYE35_00305
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	61440	63029	-	WP_112330569.1	WP_112330569.1		peptide ABC transporter substrate-binding protein			EYE35_RS00305	1590	529	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	63238	64146	-							EYE35_RS00310	909		old_locus_tag=EYE35_00310
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	63238	64146	-	WP_137456954.1	WP_137456954.1		NAD(P)/FAD-dependent oxidoreductase			EYE35_RS00310	909	302	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	64287	64646	+							EYE35_RS00315	360		old_locus_tag=EYE35_00315
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	64287	64646	+	WP_101328796.1	WP_101328796.1		hypothetical protein			EYE35_RS00315	360	119	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	64721	67054	-							EYE35_RS00320	2334		old_locus_tag=EYE35_00320
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	64721	67054	-	WP_137456955.1	WP_137456955.1		DEAD/DEAH box helicase			EYE35_RS00320	2334	777	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	67245	67850	+							EYE35_RS00325	606		old_locus_tag=EYE35_00325
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	67245	67850	+	WP_069331309.1	WP_069331309.1		TetR/AcrR family transcriptional regulator			EYE35_RS00325	606	201	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	67917	68264	+							EYE35_RS00330	348		old_locus_tag=EYE35_00330
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	67917	68264	+	WP_069331308.1	WP_069331308.1		DUF1428 domain-containing protein			EYE35_RS00330	348	115	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	68266	69009	+							EYE35_RS00335	744		old_locus_tag=EYE35_00335
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	68266	69009	+	WP_137456956.1	WP_137456956.1		VOC family protein			EYE35_RS00335	744	247	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	69148	70062	+					trxA		EYE35_RS00340	915		old_locus_tag=EYE35_00340
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	69148	70062	+	WP_137456957.1	WP_137456957.1		thioredoxin	trxA		EYE35_RS00340	915	304	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	70066	70734	+							EYE35_RS00345	669		old_locus_tag=EYE35_00345
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	70066	70734	+	WP_101326784.1	WP_101326784.1		ATP-dependent protease			EYE35_RS00345	669	222	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	70731	70910	+							EYE35_RS00350	180		old_locus_tag=EYE35_00350
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	70731	70910	+	WP_069331304.1	WP_069331304.1		Trm112 family protein			EYE35_RS00350	180	59	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	70987	72216	-							EYE35_RS00355	1230		old_locus_tag=EYE35_00355
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	70987	72216	-	WP_137456958.1	WP_137456958.1		2-octaprenyl-6-methoxyphenyl hydroxylase			EYE35_RS00355	1230	409	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	72298	73623	+							EYE35_RS00360	1326		old_locus_tag=EYE35_00360
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	72298	73623	+	WP_137456959.1	WP_137456959.1		amidase			EYE35_RS00360	1326	441	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	73746	74924	+							EYE35_RS00365	1179		old_locus_tag=EYE35_00365
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	73746	74924	+	WP_137456960.1	WP_137456960.1		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme			EYE35_RS00365	1179	392	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	74935	78219	+							EYE35_RS00370	3285		old_locus_tag=EYE35_00370
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	74935	78219	+	WP_137456961.1	WP_137456961.1		cell division protein FtsK			EYE35_RS00370	3285	1094	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	78364	79002	+							EYE35_RS00375	639		old_locus_tag=EYE35_00375
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	78364	79002	+	WP_084295673.1	WP_084295673.1		outer membrane lipoprotein carrier protein LolA			EYE35_RS00375	639	212	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	79072	79653	-							EYE35_RS00380	582		old_locus_tag=EYE35_00380
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	79072	79653	-	WP_069331270.1	WP_069331270.1		lytic transglycosylase			EYE35_RS00380	582	193	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	79925	80251	+					hspQ		EYE35_RS00385	327		old_locus_tag=EYE35_00385
